ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc;nivel;cut_comuna;comuna;region
193917,0000;410000,0000;500000,0000;198000,0;600000;193917,0000;4,0000;2,000;4;2;41,3819979455574;9,51951814577616;comuna;3303;Freirina;NA
197917,0000;410000,0000;450000,0000;320000,0;580000;197917,0000;4,0000;2,000;4;2;40,3606999825873;10,68675595238106;comuna;3304;Huasco;NA
209778,0000;550000,0000;599583,0000;280000,0;600000;200000,0000;5,0000;3,000;5;3;36,9964695634151;12,19316394895613;comuna;4101;La Serena;NA
200000,0000;500000,0000;500000,0000;193197,0;500000;193917,0000;4,0000;2,000;5;3;41,1424178953182;11,50238317111147;comuna;4102;Coquimbo;NA
61318,0000;420000,0000;450000,0000;145000,0;450000;44154,0000;3,0000;2,000;3;2;34,0671742808811;10,36408335284495;comuna;4103;Andacollo;NA
238089,0000;400000,0000;450000,0000;193000,0;400000;238089,0000;4,0000;2,000;5;3;45,3619809016211;8,59908577574618;comuna;4104;La Higuera;NA
203917,0000;400000,0000;450000,0000;175000,0;400000;203917,0000;3,0000;2,000;3;2;39,0786277434476;10,38640087383944;comuna;4105;Paiguano;NA
203935,0000;400000,0000;443333,0000;180000,0;460000;203935,0000;4,0000;2,000;5;3;41,1529509009755;10,98385200282207;comuna;4106;Vicuña;NA
204171,0000;500000,0000;500000,0000;220000,0;550000;197917,0000;4,0000;2,000;4;2;42,9552926903234;10,08159385852682;comuna;4201;Illapel;NA
199778,0000;400000,0000;400000,0000;330000,0;400000;199778,0000;3,0000;2,000;4;2;47,2849800713238;9,11619634811471;comuna;4202;Canela;NA
204167,0000;400000,0000;426667,0000;193000,0;480000;200000,0000;4,0000;2,000;5;3;39,5083298625584;10,62618450033296;comuna;4203;Los Vilos;NA
199778,0000;500000,0000;480000,0000;390000,0;600000;199778,0000;4,0000;2,000;5;3;41,2382029298586;10,28565060582735;comuna;4204;Salamanca;NA
193917,0000;400000,0000;405000,0000;193000,0;400000;160000,0000;4,0000;2,000;4;2;35,6305016266561;10,83362083298699;comuna;4301;Ovalle;NA
196426,0000;400000,0000;400000,0000;350000,0;400000;193935,0000;3,0000;2,000;4;2;50,0423570090766;8,97321714102980;comuna;4302;Combarbalá;NA
193917,0000;380000,0000;380000,0000;210000,0;400000;193917,0000;3,0000;2,000;4;2;44,2418026513176;8,66712657032892;comuna;4303;Monte Patria;NA
140000,0000;441485,0000;430000,0000;295000,0;600000;96958,0000;3,0000;2,000;3;2;37,6913520490478;9,62154076290204;comuna;4304;Punitaqui;NA
204720,0000;400000,0000;400000,0000;200000,0;410000;203000,0000;4,0000;2,000;5;3;43,8039260969976;9,23040380047510;comuna;4305;Río Hurtado;NA
224750,0000;400000,0000;441333,0000;209000,0;460000;209778,0000;5,0000;3,000;5;3;40,3360456803095;12,09765540322172;comuna;5101;Valparaíso;NA
200000,0000;400000,0000;400000,0000;280000,0;400000;199778,0000;4,0000;2,000;5;3;38,9936384225956;10,95015337423308;comuna;5102;Casablanca;NA
389778,0000;550000,0000;600000,0000;600000,0;550000;360000,0000;6,0000;3,000;7;4;42,2911162308978;13,42707120805693;comuna;5103;Concón;NA
230000,0000;410000,0000;445150,0000;200000,0;500000;200000,0000;5,0000;3,000;5;3;41,6223483573041;11,18566145092466;comuna;5105;Puchuncaví;NA
233393,0000;410000,0000;448333,0000;500000,0;500000;225325,0000;5,0000;3,000;5;3;39,1615060097114;11,58409584622461;comuna;5107;Quintero;NA
